english_phrase,chichewa_translation,context_notes,formality_level
Sure,Ndamva,,
Of course,Zoonadi | Chabwino,,
Absolutely,Bvuto palibe | Nditha kutelo,,
Certainly,Bvuto palibe | Palibe bvuto | Nditha kutelo,,
Yes,Inde | Eya,,
I understand,Ndakumvetsani | Ndakumvani,,
I see,Chabwino,,
Got it,Ndakumvani,,
No problem,Palibe vuto | Vuto palibe ,,
Happy to help,Ndikuthandizani,,
Thank you for asking,Zikomo pofunsa | Mwachita bwino mwafunsa,,
Thanks for your question,Mwachita bwino mwafunsa,,
Great question,Funso labwino kwambiri | Mwafunsa bwino,,
Good question,Funso labwino | Ndifunso labwino mwafunsalo,,
I'd be happy to help,Ndikuthandizani ndithu | Ndikuthandizani mwasangala,,
I'm glad to help,Ndikuthandizani ndithu | Ndine wokondwa kuthandiza,,
Let me explain,Ndikufotokozelani mwatsatanetsatane | Ndikufotokezelani,,
Let me help you with that,Ndikuthandizani,,
I can help with that,Ndikuthandizani,,
Hello,Mwadzuka? | Wawa | Zikuyenda | Bo!,,
Hi,Mwadzuka? | Wawa | Zikuyenda | Bo!,,
Good morning,Mwadzuka bwanji? | Mwadzuka,,
Good afternoon,Mwaswela bwanji?  | Mwaswela,,
Good evening,Mwaswela bwanji?  | Mwaswela,,
Hey there,Wawa ,,
So,Ndiye | Ndiyeno ,,
Well,REPHRASE,,
Now,Panopa | Pompano,,
Actually,REPHRASE,,
In fact,Zoona zake nzakuti ,,
Also,Komanso | China ndichakuti,,
Additionally,Komanso | China ndichakuti,,
Furthermore,SKIP,,
First,Choyamba,,
Second,Chachiwiri,,
Next,Kenako,,
Then,Kenako,,
Finally,Pomaliza,,
To start,Choyamba nchakuti ,,
To begin with,Choyamba nchakuti ,,
Moving on,REPHRASE,,
This means,Izi zikutanthauza kuti | Kutanthauza kuti ,,
In other words,Mwachidule,,
That is,SKIP,,
Specifically,SKIP,,
For example,Mwachitsanzo,,
For instance,Mwachitsanzo,,
Such as,Mwachitsanzo | Monga,,
Don't worry,Osadandaula | Musadandaule,,
No worries,Osadandaula | Musadandaule,,
That's fine,Palibe vuto | Bvuto palibe |Chabwino,,
That's okay,Palibe vuto | Bvuto palibe |Chabwino,,
I understand your concern,Ndamva zimene mwanena,,
Let me clarify,Ndifotokozenso bwino,,
Allow me to explain,Ndifotokozenso bwino | Ndifotokozenso bwino bwino,,
I hope this helps,Ndikhulupilila kuti ndakuyankhani | Ndikhulupilila kuti ndakuthandizani,,
Hope that helps,Ndikhulupilila kuti ndakuyankhani | Ndikhulupilila kuti ndakuthandizani,,
If you need more information,Ngati palinso china mukufuna ,,
If you have any questions,Ngati muli ndi mafunso ena | Mulinso ndimafunso ena ngati?,,
Feel free to ask,Khalani omasuka kufunsa | Ndinu omasuka kufunsa | Mutha kufunsa ndithu,,
Don't hesitate to ask,Musazengereze kufunsa |Mutha kundifunsa ndithu,,
Please let me know,Ndidziwitseni | Mutha kundidziwitsa ,,
Anything else I can help with,Palinso chinanso ngati? ,,
Is there anything else,Pali chinanso ngati | Mulinso ndi funso lina,,
I apologize,Pepani,,
Sorry about that,Pepani,,
Unfortunately,SKIP,,
I'm afraid,SKIP,,
Please note,dziwani izi | dziwani kuti,,
Keep in mind,Kumbukirani kuti | Mongokumbutsana,,
Remember that,SKIP,,
It's important to note,Ndikofunika kudziwa kuti,,
We have,Tili ndi,,
We offer,Tili ndi,,
Available options include,Mutha kusankha pazinthu izi,,
You can,Mutha,,
You may,Mungathe,,
You'll need to,Muyenera ku | Pamafunika izi ,,
To do this,Kuchita izi | Kupanga izi,,
The process is,Mutsatile izi | Ndondomeko yake ndiyotele ,,
Here's how,Mutsatile izi | Ndondomeko yake ndiyotele ,,
Regarding your question about,SKIP,,
About your question,Zokhudza zimene munandifunsa | Zokhudzana ndi zimene munandifunsa ,,
To answer your question,Ndiyankhe zimene munafunsa | Ndiyankhe motele funso lanu ,,
In response to your question,Ndiyankhe zimene munafunsa | Ndiyankhe motele funso lanu ,,
You asked about,Munandifunsa izi | Munandifunsa kuti ,,